RT,SERIALNO,DIVISION,PUMA,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACCESS,ACR,AGS,BATH,BDSP,BLD,BROADBND,BUS,COMPOTHX,CONP,DIALUP,DSL,ELEP,FIBEROP,FS,FULP,GASP,HANDHELD,HFL,INSP,LAPTOP,MHP,MODEM,MRGI,MRGP,MRGT,MRGX,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SATELLITE,SINK,SMP,STOV,TEL,TEN,TOIL,VACS,VALP,VEH,WATP,YBL,FES,FFINCP,FGRNTP,FHINCP,FINCP,FPARC,FSMOCP,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SSMC,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACCESSP,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBROADBNDP,FBUSP,FCOMPOTHXP,FCONP,FDIALUPP,FDSLP,FELEP,FFIBEROPP,FFSP,FFULP,FGASP,FHANDHELDP,FHFLP,FINSP,FKITP,FLAPTOPP,FMHP,FMODEMP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FOTHSVCEXP,FPLMP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSATELLITEP,FSINKP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP,wgtp1,wgtp2,wgtp3,wgtp4,wgtp5,wgtp6,wgtp7,wgtp8,wgtp9,wgtp10,wgtp11,wgtp12,wgtp13,wgtp14,wgtp15,wgtp16,wgtp17,wgtp18,wgtp19,wgtp20,wgtp21,wgtp22,wgtp23,wgtp24,wgtp25,wgtp26,wgtp27,wgtp28,wgtp29,wgtp30,wgtp31,wgtp32,wgtp33,wgtp34,wgtp35,wgtp36,wgtp37,wgtp38,wgtp39,wgtp40,wgtp41,wgtp42,wgtp43,wgtp44,wgtp45,wgtp46,wgtp47,wgtp48,wgtp49,wgtp50,wgtp51,wgtp52,wgtp53,wgtp54,wgtp55,wgtp56,wgtp57,wgtp58,wgtp59,wgtp60,wgtp61,wgtp62,wgtp63,wgtp64,wgtp65,wgtp66,wgtp67,wgtp68,wgtp69,wgtp70,wgtp71,wgtp72,wgtp73,wgtp74,wgtp75,wgtp76,wgtp77,wgtp78,wgtp79,wgtp80
H,557,6,02702,3,01,1000000,1007549,00000,01,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
H,588,6,02702,3,01,1000000,1007549,00100,02,1,3,1,,1,02,02,,2,2,,,,090,,2,0002,003,2,3,,2,,,,,,,,1,04,1,01400,1,9,,1,,1,1,3,1,,,1,0360,7,4,0,0,0,000026300,4,,1520,069,1,1,000026300,0,4,4,4,1,1,1,3,00,02,0,0,00,,0,1,0,0,2,2,2,,,1,0,0,,0,09,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00099,00120,00103,00179,00092,00098,00031,00162,00032,00026,00111,00114,00160,00176,00033,00104,00096,00094,00027,00114,00031,00028,00030,00084,00167,00030,00084,00112,00099,00103,00195,00177,00095,00125,00102,00151,00031,00197,00090,00031,00098,00113,00102,00029,00095,00092,00166,00030,00168,00167,00094,00096,00030,00032,00151,00111,00115,00101,00181,00108,00163,00160,00181,00103,00032,00156,00112,00101,00106,00101,00029,00029,00084,00105,00109,00030,00179,00032,00100,00183
H,709,6,02300,3,01,1000000,1007549,00025,01,1,3,2,1,1,03,02,,2,2,,,,100,,1,0002,030,2,2,,2,,,,,,,,1,05,,,1,9,,1,,1,1,4,1,,,0,0010,4,,0,,0,,,,,,1,6,000007700,0,4,4,4,1,1,1,7,00,,0,0,00,,0,1,0,0,1,1,1,,,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00007,00022,00028,00017,00044,00026,00021,00006,00028,00006,00015,00024,00028,00041,00050,00006,00026,00030,00018,00049,00006,00043,00023,00031,00032,00023,00020,00006,00039,00006,00008,00028,00038,00030,00042,00011,00032,00037,00019,00006,00038,00022,00044,00016,00006,00033,00033,00035,00005,00026,00065,00027,00025,00010,00011,00047,00028,00021,00017,00007,00029,00031,00029,00026,00006,00022,00023,00022,00007,00039,00031,00022,00025,00007,00005,00037,00081,00054,00024,00032
H,732,6,02500,3,01,1000000,1007549,00020,02,1,1,,,1,02,05,1,,2,,2,1,100,2,2,0002,003,1,3,,1,,1,,,,,2,1,04,2,00590,1,9,2,1,,1,1,3,1,,,2,0020,6,,0,0,1,,,,0692,046,1,5,000018000,0,4,4,4,1,1,1,1,00,,0,1,00,,2,1,0,0,0,0,3,,,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00019,00006,00006,00036,00019,00032,00018,00018,00035,00019,00031,00007,00005,00018,00022,00022,00034,00022,00006,00024,00020,00004,00007,00035,00018,00034,00019,00018,00030,00021,00034,00005,00005,00019,00022,00020,00038,00020,00005,00017,00021,00030,00030,00008,00023,00006,00017,00018,00006,00017,00008,00036,00030,00023,00019,00018,00006,00021,00035,00021,00020,00035,00030,00006,00019,00006,00021,00020,00006,00017,00004,00034,00040,00021,00016,00016,00006,00022,00035,00016
H,776,6,01400,3,01,1000000,1007549,00025,02,1,1,2,1,1,02,02,2,2,2,,2,1,190,2,2,0002,003,2,3,0600,1,,2,,,,3,2,1,06,,,1,9,2,1,,1,1,2,1,,0040000,2,0600,6,1,1,,1,000035000,4,0,,,1,1,000035000,0,4,4,4,1,1,1,6,00,02,0,0,00,010,0,1,0,0,0,0,2,00294,,0,0,1,02,2,01,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00043,00007,00008,00025,00007,00026,00029,00036,00033,00045,00024,00036,00020,00021,00010,00024,00017,00006,00040,00044,00029,00030,00030,00037,00024,00009,00039,00023,00051,00030,00008,00024,00005,00045,00028,00007,00008,00022,00025,00034,00005,00047,00052,00030,00049,00037,00027,00006,00025,00006,00021,00007,00018,00025,00056,00025,00021,00041,00007,00009,00025,00029,00022,00006,00026,00051,00008,00026,00008,00025,00044,00023,00030,00006,00025,00034,00040,00030,00024,00028
H,891,6,02300,3,01,1000000,1007549,00035,05,1,1,2,1,1,03,01,2,2,2,,2,1,300,2,2,0002,003,1,3,0900,1,00000,2,1,00480,1,1,2,1,04,,,1,9,2,1,,1,1,1,1,,0060000,5,0050,8,1,0,,0,000060000,2,1,,,1,1,000060000,0,2,2,2,1,1,1,3,03,05,0,0,03,016,0,1,0,1,0,0,3,00784,3,0,0,0,06,2,01,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00068,00032,00013,00027,00027,00034,00009,00025,00009,00051,00036,00082,00041,00039,00030,00060,00067,00006,00039,00031,00048,00056,00033,00063,00058,00008,00047,00012,00025,00035,00011,00035,00010,00046,00049,00037,00039,00036,00011,00070,00007,00033,00049,00029,00029,00040,00063,00028,00068,00009,00042,00015,00039,00039,00031,00010,00009,00045,00030,00030,00041,00010,00030,00009,00010,00044,00037,00071,00024,00034,00057,00034,00077,00008,00011,00045,00035,00046,00063,00011
H,944,6,00500,3,01,1000000,1007549,00015,01,1,3,1,,1,02,02,,2,2,,,,050,,1,0002,004,2,3,0900,1,,,,,,3,,1,05,,,1,9,,1,,1,1,2,1,,0060000,1,0002,3,,0,,0,,,0,,,1,6,000001600,0,4,4,4,1,1,1,6,00,,0,0,00,101,0,1,0,0,1,1,2,00142,,0,0,1,05,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00027,00014,00004,00024,00006,00015,00018,00014,00018,00020,00017,00027,00006,00015,00015,00006,00006,00018,00031,00014,00014,00005,00016,00013,00017,00006,00027,00030,00031,00034,00004,00015,00013,00033,00006,00014,00019,00007,00015,00031,00030,00015,00004,00027,00004,00017,00014,00013,00016,00013,00016,00028,00004,00017,00018,00007,00005,00015,00025,00021,00020,00008,00018,00016,00018,00005,00029,00031,00024,00023,00003,00015,00023,00032,00006,00018,00014,00005,00017,00031
H,1088,6,02703,3,01,1000000,1007549,00075,03,1,1,1,,1,03,02,1,2,2,,2,2,150,2,2,1200,050,2,1,,2,,1,,,,,2,1,06,2,00700,1,9,1,1,,1,1,3,1,,,2,0010,3,7,1,1,1,000108500,4,,1001,010,1,3,000118900,0,4,4,4,1,1,1,6,00,02,0,1,00,,4,1,0,0,2,2,1,,,1,0,0,,2,13,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,00079,00111,00143,00076,00131,00024,00086,00066,00077,00018,00078,00127,00080,00018,00023,00081,00072,00020,00135,00078,00071,00021,00021,00084,00021,00137,00082,00084,00079,00119,00076,00019,00070,00131,00119,00076,00070,00126,00024,00079,00073,00138,00119,00062,00138,00023,00079,00071,00082,00023,00064,00133,00069,00021,00022,00081,00084,00022,00148,00067,00073,00025,00023,00074,00022,00130,00073,00067,00069,00128,00074,00023,00091,00128,00128,00074,00066,00123,00021,00079
H,1117,6,00302,3,01,1000000,1007549,00077,02,1,2,1,,1,04,02,,2,2,,,,150,,2,0060,003,1,3,1200,1,,,1,01300,1,1,,1,08,,,1,9,,1,,1,1,1,1,,0250000,3,0630,6,1,1,,1,000175000,4,1,,,1,1,000175000,0,4,4,4,1,1,1,6,00,02,0,0,00,010,0,1,0,0,0,0,1,01508,3,0,0,1,24,2,01,01,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,00024,00087,00021,00079,00072,00023,00068,00023,00159,00144,00085,00081,00070,00023,00081,00125,00070,00130,00110,00074,00140,00078,00140,00081,00070,00122,00076,00129,00022,00021,00088,00069,00070,00131,00074,00020,00070,00021,00021,00071,00021,00076,00021,00077,00069,00022,00068,00022,00141,00127,00072,00078,00071,00024,00076,00123,00072,00133,00125,00070,00136,00080,00146,00079,00064,00122,00077,00131,00021,00023,00073,00067,00075,00134,00075,00026,00070,00021,00026,00064
H,1242,6,00301,3,01,1000000,1007549,00040,02,1,1,1,,1,02,02,2,2,2,,2,2,070,2,2,0002,003,1,3,0850,1,,1,1,00570,1,1,2,1,07,,,1,9,2,1,,1,1,1,1,,0110000,1,0460,4,2,0,,0,000073000,4,0,,,1,1,000073000,0,4,4,4,1,1,1,4,00,02,0,0,00,011,0,1,0,0,1,0,3,00678,3,0,0,1,09,1,03,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00012,00041,00012,00041,00076,00042,00072,00012,00042,00078,00077,00041,00038,00038,00037,00037,00013,00041,00079,00071,00074,00041,00071,00049,00012,00046,00012,00068,00043,00009,00012,00043,00040,00042,00042,00037,00063,00038,00012,00073,00067,00052,00063,00044,00014,00041,00012,00065,00042,00011,00012,00038,00038,00049,00041,00044,00080,00041,00012,00010,00012,00040,00011,00043,00075,00037,00065,00012,00038,00076,00080,00040,00039,00038,00040,00040,00013,00036,00080,00011
H,1369,6,01304,3,01,1000000,1007549,00095,01,1,3,1,,1,03,02,,2,2,,,,070,,2,0002,020,2,1,0000,2,,,,,,3,,1,05,,,1,9,,1,,1,1,2,1,,0190000,1,0500,12,,0,,1,,,1,,,1,6,000014600,0,4,4,4,1,1,1,3,00,,0,0,00,016,0,1,0,0,1,1,1,00200,,0,0,1,18,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00165,00082,00093,00027,00033,00163,00153,00029,00090,00168,00031,00025,00097,00093,00155,00083,00091,00097,00095,00093,00028,00101,00091,00167,00164,00029,00026,00173,00104,00027,00154,00174,00097,00091,00026,00095,00088,00097,00094,00108,00153,00090,00092,00023,00028,00165,00188,00028,00096,00178,00030,00025,00089,00093,00176,00091,00094,00102,00093,00083,00026,00106,00093,00150,00155,00026,00029,00155,00095,00029,00156,00175,00097,00089,00030,00089,00080,00087,00090,00098
